health_state,utility,setting,funding
Hepatitis B: chronic infection,0.52,China,GovernmentHealth CarePro Memb Org
"Alzheimer's: severe, not independent",0.6,Switzerland,Pharm Or Device
"Alzheimer's: severe, not independent",0.34,Switzerland,Pharm Or Device
Lung cancer: progressive / late stage,0.67,United States,Government
Lung cancer: progressive / late stage,0.473,United States,Government
Lung cancer: progressive / late stage,0.563,United States,Government
Lung cancer: progressive / late stage,0.63,United States,Government
Lung cancer: progressive / late stage,0.605,United States,Government
Lung cancer: progressive / late stage,0.62,United States,Government
Lung cancer: progressive / late stage,0.67,United States,Government
Lung cancer: progressive / late stage,0.63,United States,Government
Lung cancer: progressive / late stage,0.64,United States,Government
Lung cancer: progressive / late stage,0.65,United States,Government
Lung cancer: progressive / late stage,0.563,United States,Government
Lung cancer: progressive / late stage,0.653,United States,Government
Breast cancer: progressive / late stage,0.4,United Kingdom,Government
Breast cancer: progressive / late stage,0.685,Finland,Foundation
Diabetes w/o complications,0.86,United States,GovernmentFoundation
Lung cancer: progressive / late stage,0.473,France,Pharm Or Device
Lung cancer: progressive / late stage,0.46,France,Pharm Or Device
Lung cancer: progression-free / early stage,0.58,France,Pharm Or Device
Lung cancer: progression-free / early stage,0.626,France,Pharm Or Device
Unstable angina,0.77,United Kingdom,Government
Past M.I. (>1 year),0.836,United Kingdom,Government
Past M.I. (<1 year),0.76,United Kingdom,Government
Unstable angina,0.847,United Kingdom,Government
CVD: mild (Rankin 0-1),0.65,Canada,Pharm Or Device
Compensated cirrhosis,0.81,Canada,Pharm Or Device
Decompensated cirrhosis,0.49,Canada,Pharm Or Device
Hepatitis B: chronic infection,0.87,Canada,Pharm Or Device
Diabetes w/o complications,0.689,United States,Government
Breast cancer: progressive / late stage,0.5,United Kingdom,Pharm Or Device
Diabetes w/ amputation,0.402,United Kingdom,Pharm Or Device
Past M.I. (>1 year),0.736,United Kingdom,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.63,United Kingdom,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.57,United Kingdom,Pharm Or Device
Diabetes w/ dialysis,0.612,United Kingdom,Pharm Or Device
Diabetes w/ vision loss,0.67,United Kingdom,Pharm Or Device
Diabetes w/o complications,0.814,United Kingdom,Pharm Or Device
Hepatitis B: chronic infection,0.86,United States,Pharm Or Device
Compensated cirrhosis,0.85,United States,Pharm Or Device
Decompensated cirrhosis,0.39,United States,Pharm Or Device
Prior liver transplant (<1 year),0.69,United States,Pharm Or Device
Prior liver transplant (>1 year),0.8,United States,Pharm Or Device
Hepatitis B: chronic infection,0.93,United States,Pharm Or Device
Colorectal cancer: progressive / late stage,0.59,United States,None
Unstable angina,0.6542,Ireland,Foundation
Breast cancer: progressive / late stage,0.6,United Kingdom,Government
Colorectal cancer: progression-free / early stage,0.72,Switzerland,Foundation
Colorectal cancer: progressive / late stage,0.77,Switzerland,Foundation
Colorectal cancer: progression-free / early stage,0.7,United Kingdom,Government
Colorectal cancer: progression-free / early stage,0.7,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.7,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.3,United Kingdom,Government
Diabetes w/o complications,0.753,Canada,Pro Memb Org
COPD: mild to moderate,0.82,Germany,Pharm Or Device
COPD: mild to moderate,0.8,Germany,Pharm Or Device
COPD: severe to very severe,0.77,Germany,Pharm Or Device
COPD: severe to very severe,0.74,Germany,Pharm Or Device
Diabetes w/o complications,0.757,United States,None
Diabetes w/ peripheral neuropathy,0.575,United States,None
Diabetes w/ peripheral neuropathy,0.516,United States,None
Diabetes w/ peripheral neuropathy,0.603,United States,None
Diabetes w/ peripheral neuropathy,0.544,United States,None
Diabetes w/ amputation,0.572,United States,None
Diabetes w/ peripheral neuropathy,0.557,United States,None
COPD: exacerbation,0.475,United States,Pharm Or Device
COPD: exacerbation,0.658,United States,Pharm Or Device
COPD: severe to very severe,0.72,United States,Pharm Or Device
COPD: exacerbation,0.447,United States,Pharm Or Device
COPD: exacerbation,0.408,United States,Pharm Or Device
COPD: severe to very severe,0.67,United States,Pharm Or Device
Lung cancer: progressive / late stage,0.47,China,Government
Lung cancer: progression-free / early stage,0.65,China,Government
"Alzheimer's: severe, not independent",0.34,Canada,Pharm Or Device
COPD: mild to moderate,0.8971,Spain,Pharm Or Device
COPD: mild to moderate,0.7551,Spain,Pharm Or Device
COPD: severe to very severe,0.7481,Spain,Pharm Or Device
COPD: severe to very severe,0.5493,Spain,Pharm Or Device
Hepatitis B: chronic infection,0.99,Taiwan,None
Hepatitis B: chronic infection,0.73,Taiwan,None
Decompensated cirrhosis,0.6,Taiwan,None
Compensated cirrhosis,0.8,Taiwan,None
CVD: mild (Rankin 0-1),0.09,United States,Health CareOther
CVD: mild (Rankin 0-1),0.8,United States,Health CareOther
CVD: moderate (Rankin 2-3),0.46,United States,Health CareOther
CVD: moderate (Rankin 2-3),0.34,United States,Health CareOther
CVD: severe (Rankin 4-5),0.3,United States,Health CareOther
CVD: severe (Rankin 4-5),0.02,United States,Health CareOther
Decompensated cirrhosis,0.56,United States,Pharm Or Device
Hepatitis C: chronic infection,0.02,United States,Pharm Or Device
Compensated cirrhosis,0.8,United States,Pharm Or Device
Hepatitis C: chronic infection,0.96,United States,Pharm Or Device
Prior liver transplant (>1 year),0.95,United States,Pharm Or Device
Prior liver transplant (<1 year),0.8,United States,Pharm Or Device
Hepatitis C: chronic infection,0.9,United States,Pharm Or Device
Hepatitis B: chronic infection,0.69,Hong Kong,Pharm Or Device
Compensated cirrhosis,0.71,Hong Kong,Pharm Or Device
Decompensated cirrhosis,0.27,Hong Kong,Pharm Or Device
Hepatitis C: chronic infection,0.86,International,Pharm Or Device
Compensated cirrhosis,0.73,International,Pharm Or Device
Decompensated cirrhosis,0.6,International,Pharm Or Device
Prior liver transplant (<1 year),0.75,International,Pharm Or Device
Hepatitis C: chronic infection,0.85,International,Pharm Or Device
Hepatitis C: chronic infection,0.77,International,Pharm Or Device
Hepatitis C: chronic infection,0.44,International,Pharm Or Device
Prior liver transplant (<1 year),0.66,International,Pharm Or Device
Compensated cirrhosis,0.79,united states,GovernmentOther
Decompensated cirrhosis,0.72,united states,GovernmentOther
Hepatitis C: chronic infection,0.98,united states,GovernmentOther
Hepatitis C: chronic infection,0.85,united states,GovernmentOther
Compensated cirrhosis,0.93,united states,GovernmentOther
Breast cancer: progressive / late stage,0.685,Netherlands,GovernmentOther
Diabetes w/o complications,0.833,United States,Pharm Or Device
Diabetes w/o complications,0.965,United States,Pharm Or Device
Lung cancer: progressive / late stage,0.217,United Kingdom,Pharm Or Device
Lung cancer: progression-free / early stage,0.426,United Kingdom,Pharm Or Device
Lung cancer: progression-free / early stage,0.451,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.31,Taiwan,Foundation
Decompensated cirrhosis,0.16,Taiwan,Foundation
COPD: mild to moderate,0.787,United Kingdom,Pharm Or Device
COPD: mild to moderate,0.75,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.647,United Kingdom,Pharm Or Device
Past M.I. (<1 year),0.683,United Kingdom,Government
Past M.I. (>1 year),0.718,United Kingdom,Government
CVD: mild (Rankin 0-1),0.88,United States,Pharm Or Device
Compensated cirrhosis,0.76,United States,Could not be DeterminedOther
Decompensated cirrhosis,0.69,United States,Could not be DeterminedOther
"Alzheimer's: severe, not independent",0.336,United Kingdom,Pharm Or Device
Diabetes w/ amputation,0.28,United Kingdom,Pharm Or Device
Diabetes w/ vision loss,0.074,United Kingdom,Pharm Or Device
Past M.I. (>1 year),0.055,United Kingdom,Pharm Or Device
Lung cancer: progressive / late stage,0.66,Australia,GovernmentHealth Care
Lung cancer: progression-free / early stage,0.73,Australia,GovernmentHealth Care
Hepatitis B: chronic infection,0.77,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.73,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.73,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.34,United Kingdom,Pharm Or Device
Unstable angina,0.695,United States,None
Past M.I. (<1 year),0.77,Sweden,Foundation
Past M.I. (<1 year),0.7,Sweden,Foundation
Past M.I. (<1 year),0.77,Sweden,Foundation
Past M.I. (<1 year),0.78,Sweden,Foundation
COPD: mild to moderate,0.8971,Netherlands,Government
COPD: mild to moderate,0.7551,Netherlands,Government
COPD: severe to very severe,0.7481,Netherlands,Government
COPD: severe to very severe,0.5493,Netherlands,Government
CVD: mild (Rankin 0-1),0.0017,Netherlands,GovernmentHealth Care
Hepatitis B: chronic infection,0.52,China,Government
Compensated cirrhosis,0.57,China,Government
Decompensated cirrhosis,0.26,China,Government
Breast cancer: progressive / late stage,0.73,Spain,Pharm Or Device
Breast cancer: progressive / late stage,0.72,Spain,Pharm Or Device
Colorectal cancer: progressive / late stage,0.46,Canada,Government
Colorectal cancer: progression-free / early stage,0.74,Canada,Government
Breast cancer: progression-free / early stage,0.7,Japan,Government
Breast cancer: progressive / late stage,0.5,Japan,Government
Colorectal cancer: progressive / late stage,0.83,United States,GovernmentPro Memb OrgOther
CVD: severe (Rankin 4-5),0.32,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.9,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.79,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.68,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.4,United States,Pharm Or Device
Compensated cirrhosis,0.89,Germany,Pharm Or DeviceOther
Decompensated cirrhosis,0.81,Germany,Pharm Or DeviceOther
Hepatitis C: chronic infection,0.95,Germany,Pharm Or DeviceOther
Hepatitis C: chronic infection,0.92,Germany,Pharm Or DeviceOther
CVD: severe (Rankin 4-5),0.26,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.774,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.55,United States,Pharm Or Device
Major depressive order: moderate,0.63,Japan,Pharm Or Device
Major depressive order: severe,0.3,Japan,Pharm Or Device
Breast cancer: progressive / late stage,0.7,Belgium,Pharm Or Device
Breast cancer: progressive / late stage,0.5,Belgium,Pharm Or Device
Prior liver transplant (<1 year),0.69,Netherlands,Government
Prior liver transplant (>1 year),0.86,Netherlands,Government
Compensated cirrhosis,0.74,Netherlands,Government
Decompensated cirrhosis,0.66,Netherlands,Government
Breast cancer: progressive / late stage,0.68,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.62,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.61,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.65,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.51,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.69,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.49,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.57,United States,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Foundation
Hepatitis C: chronic infection,0.55,United Kingdom,Foundation
Hepatitis C: chronic infection,0.66,United Kingdom,Foundation
Hepatitis C: chronic infection,0.77,United Kingdom,Foundation
Hepatitis C: chronic infection,0.66,United Kingdom,Foundation
COPD: mild to moderate,0.832,United States,None
COPD: mild to moderate,0.803,United States,None
COPD: severe to very severe,0.731,United States,None
Past M.I. (<1 year),0.9,Australia,Government
Past M.I. (<1 year),0.8,Australia,Government
CVD: mild (Rankin 0-1),0.89,Australia,Government
CVD: mild (Rankin 0-1),0.9,Australia,Government
Colorectal cancer: progressive / late stage,0.25,United States,Foundation
"Alzheimer's: mild, independent living",0.5249,Spain,Government
"Alzheimer's: severe, not independent",0.2014,Spain,Government
Diabetes w/o complications,0.783,Canada,Government
CVD: mild (Rankin 0-1),0.75,United States,GovernmentPharm Or Device
CVD: severe (Rankin 4-5),0.39,United States,GovernmentPharm Or Device
Compensated cirrhosis,0.71,United States,Government
Compensated cirrhosis,0.56,United States,Government
CVD: mild (Rankin 0-1),0.76,United States,GovernmentHealth Care
CVD: severe (Rankin 4-5),0.11,United States,GovernmentHealth Care
Breast cancer: progressive / late stage,0.13,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.42,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.53,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.13,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.36,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.42,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.63,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.89,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.82,Germany,Pharm Or Device
Breast cancer: progressive / late stage,0.82,Germany,Pharm Or Device
Prior liver transplant (>1 year),0.8,United States,Government
Major depressive order: moderate,0.63,United Kingdom,Government
Diabetes w/ amputation,0.473,Canada,Government
Diabetes w/ vision loss,0.748,Canada,Government
Past M.I. (<1 year),0.712,Canada,Government
Past M.I. (>1 year),0.741,Canada,Government
Diabetes w/o complications,0.753,Canada,Government
Past M.I. (<1 year),0.76,United Kingdom,GovernmentFoundation
Past M.I. (>1 year),0.88,United Kingdom,GovernmentFoundation
Unstable angina,0.77,United Kingdom,GovernmentFoundation
Unstable angina,0.88,United Kingdom,GovernmentFoundation
Hepatitis B: chronic infection,0.68,Netherlands,GovernmentFoundation
Compensated cirrhosis,0.69,Netherlands,GovernmentFoundation
Decompensated cirrhosis,0.35,Netherlands,GovernmentFoundation
Breast cancer: progressive / late stage,0.67,Canada,Pharm Or Device
Breast cancer: progressive / late stage,0.796,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.81,United States,None
CVD: moderate (Rankin 2-3),0.55,United States,None
CVD: severe (Rankin 4-5),0.25,United States,None
Diabetes w/o complications,0.814,Denmark,Pharm Or DeviceOther
Breast cancer: progressive / late stage,0.62,South Korea,Pharm Or Device
Diabetes w/ amputation,0.505,China,Other
Diabetes w/ vision loss,0.711,China,Other
Hepatitis B: chronic infection,0.71,China,Pharm Or Device
Compensated cirrhosis,0.76,China,Pharm Or Device
Decompensated cirrhosis,0.266,China,Pharm Or Device
Compensated cirrhosis,0.75,United Kingdom,Government
Decompensated cirrhosis,0.66,United Kingdom,Government
Hepatitis B: chronic infection,0.95,Taiwan,Pharm Or Device
Compensated cirrhosis,0.9,Taiwan,Pharm Or Device
Decompensated cirrhosis,0.54,Taiwan,Pharm Or Device
Hepatitis B: chronic infection,0.81,United States,Pharm Or Device
Compensated cirrhosis,0.82,United States,Pharm Or Device
Decompensated cirrhosis,0.36,United States,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.88,United States,Pharm Or Device
Diabetes w/o complications,0.814,United States,Pharm Or Device
Diabetes w/ dialysis,0.49,United States,Pharm Or Device
Past M.I. (>1 year),0.736,United States,Pharm Or Device
Diabetes w/ dialysis,0.56,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.4,United States,Government
Lung cancer: progression-free / early stage,0.451,Portugal,Pharm Or Device
Lung cancer: progressive / late stage,0.217,Portugal,Pharm Or Device
Breast cancer: progressive / late stage,0.62,United States,GovernmentPro Memb Org
Diabetes w/ peripheral neuropathy,0.81,Japan,Pharm Or DeviceOther
Diabetes w/ peripheral neuropathy,0.69,Japan,Pharm Or DeviceOther
Diabetes w/ peripheral neuropathy,0.66,Japan,Pharm Or DeviceOther
Diabetes w/ peripheral neuropathy,0.81,Japan,Pharm Or DeviceOther
Past M.I. (<1 year),0.76,United Kingdom,Government
Stable angina,0.9,United Kingdom,Government
Stable angina,0.81,United Kingdom,Government
Unstable angina,0.8,United Kingdom,Government
Unstable angina,0.77,United Kingdom,Government
Hepatitis C: chronic infection,0.46,United Kingdom,Government
Hepatitis C: chronic infection,0.55,United Kingdom,Government
Hepatitis C: chronic infection,0.51,United Kingdom,Government
Decompensated cirrhosis,0.45,United Kingdom,Government
Hepatitis C: chronic infection,0.65,United Kingdom,Government
Hepatitis C: chronic infection,0.76,United Kingdom,Government
Hepatitis C: chronic infection,0.75,United Kingdom,Government
Hepatitis C: chronic infection,0.525,United Kingdom,Government
Hepatitis C: chronic infection,0.63,United Kingdom,Government
Hepatitis C: chronic infection,0.64,United Kingdom,Government
Hepatitis C: chronic infection,0.6,United Kingdom,Government
Breast cancer: progressive / late stage,0.49,Japan,Government
Breast cancer: progression-free / early stage,0.7,Japan,Government
Hepatitis B: chronic infection,0.81,United States,Pharm Or Device
Compensated cirrhosis,0.82,United States,Pharm Or Device
Decompensated cirrhosis,0.36,United States,Pharm Or Device
Compensated cirrhosis,0.8,United States,GovernmentHealth Care
Diabetes w/ amputation,0.705,Australia,Pharm Or Device
Diabetes w/ amputation,0.68,Australia,Pharm Or Device
Past M.I. (>1 year),0.736,Australia,Pharm Or Device
Past M.I. (<1 year),0.685,Australia,Pharm Or Device
Diabetes w/o complications,0.814,Australia,Pharm Or Device
Diabetes w/ dialysis,0.49,Australia,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.624,Australia,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.57,Australia,Pharm Or Device
Diabetes w/ dialysis,0.56,Australia,Pharm Or Device
Diabetes w/ vision loss,0.4,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.55,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.26,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.92,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.432,Canada,Pharm Or Device
Breast cancer: progression-free / early stage,0.959,Canada,Pharm Or Device
Breast cancer: progressive / late stage,0.288,Canada,Pharm Or Device
Breast cancer: progressive / late stage,0.67,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.55,Australia,Pro Memb Org
Diabetes w/ vision loss,0.66,Switzerland,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.65,Switzerland,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.65,Switzerland,Pharm Or Device
Diabetes w/ dialysis,0.444,Switzerland,Pharm Or Device
Diabetes w/ amputation,0.462,Switzerland,Pharm Or Device
Stable angina,0.9,United States,Government
Stable angina,0.974,United States,Government
CVD: mild (Rankin 0-1),0.76,United States,Government
CVD: moderate (Rankin 2-3),0.39,United States,Government
Breast cancer: progression-free / early stage,0.85,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.72,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.62,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.42,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.23,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.65,United States,GovernmentFoundation
CVD: moderate (Rankin 2-3),0.5,United States,GovernmentFoundation
CVD: severe (Rankin 4-5),0.27,United States,GovernmentFoundation
Compensated cirrhosis,0.88,United States,GovernmentFoundation
Compensated cirrhosis,0.8,United States,GovernmentFoundation
Compensated cirrhosis,0.9,United States,GovernmentFoundation
COPD: mild to moderate,0.809,Spain,Pharm Or Device
COPD: severe to very severe,0.762,Spain,Pharm Or Device
COPD: severe to very severe,0.655,Spain,Pharm Or Device
Breast cancer: progression-free / early stage,0.85,United States,GovernmentNone
Breast cancer: progression-free / early stage,0.85,United States,GovernmentNone
Breast cancer: progression-free / early stage,0.92,United States,Government
Breast cancer: progression-free / early stage,0.51,United States,Government
Breast cancer: progression-free / early stage,0.97,United States,Government
Breast cancer: progression-free / early stage,0.82,United States,Government
Breast cancer: progression-free / early stage,0.58,United States,Government
Hepatitis B: chronic infection,0.96,United Kingdom,Government
Compensated cirrhosis,0.56,United Kingdom,Government
Decompensated cirrhosis,0.46,United Kingdom,Government
Colorectal cancer: progressive / late stage,0.746,United Kingdom,Pharm Or Device
Major depressive order: moderate,0.63,United Kingdom,Government
Major depressive order: severe,0.3,United Kingdom,Government
Compensated cirrhosis,0.8,United States,GovernmentFoundation
Decompensated cirrhosis,0.6,United States,GovernmentFoundation
CVD: mild (Rankin 0-1),0.76,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.39,United Kingdom,Pharm Or Device
CVD: severe (Rankin 4-5),0.11,United Kingdom,Pharm Or Device
COPD: mild to moderate,0.76,Greece,Pharm Or Device
COPD: severe to very severe,0.75,Greece,Pharm Or Device
COPD: severe to very severe,0.55,Greece,Pharm Or Device
Breast cancer: progressive / late stage,0.65,United States,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Government
Decompensated cirrhosis,0.45,United Kingdom,Government
Decompensated cirrhosis,0.48,United States,Pharm Or Device
Hepatitis C: chronic infection,0.81,United States,Pharm Or Device
Compensated cirrhosis,0.68,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.59,United States,Government
Hepatitis B: chronic infection,0.94,United States,Government
Compensated cirrhosis,0.82,United States,Government
Decompensated cirrhosis,0.54,United States,Government
Diabetes w/ vision loss,0.39,United States,GovernmentFoundation
Diabetes w/ dialysis,0.36,United States,GovernmentFoundation
Diabetes w/ amputation,0.45,United States,GovernmentFoundation
Diabetes w/ vision loss,0.69,United States,GovernmentFoundation
Diabetes w/ dialysis,0.61,United States,GovernmentFoundation
Diabetes w/ amputation,0.8,United States,GovernmentFoundation
CVD: mild (Rankin 0-1),0.76,United States,Government
CVD: moderate (Rankin 2-3),0.39,United States,Government
CVD: severe (Rankin 4-5),0.11,United States,Government
Compensated cirrhosis,0.8,United States,Government
Decompensated cirrhosis,0.5,United States,Government
Breast cancer: progression-free / early stage,0.8,United States,Pro Memb Org
Breast cancer: progression-free / early stage,0.9,United States,Pro Memb Org
Breast cancer: progression-free / early stage,0.99,United States,Pro Memb Org
"Alzheimer's: severe, not independent",0.32,Sweden,Pharm Or Device
"Alzheimer's: mild, independent living",0.65,Sweden,Pharm Or Device
Past M.I. (>1 year),0.93,United Kingdom,Pharm Or Device
Past M.I. (<1 year),0.8,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Government
Hepatitis C: chronic infection,0.77,United Kingdom,Government
Hepatitis C: chronic infection,0.66,United Kingdom,Government
Hepatitis C: chronic infection,0.66,United Kingdom,Government
Lung cancer: progressive / late stage,0.49,United States,Other
Breast cancer: progression-free / early stage,0.7,United States,Other
Past M.I. (<1 year),0.8,United Kingdom,Pharm Or Device
Past M.I. (>1 year),0.93,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.85,United States,GovernmentOther
Decompensated cirrhosis,0.6,United States,GovernmentOther
Prior liver transplant (<1 year),0.86,United States,GovernmentOther
Prior liver transplant (>1 year),0.95,United States,GovernmentOther
Hepatitis C: chronic infection,0.96,United States,GovernmentOther
Hepatitis C: chronic infection,0.92,United States,GovernmentOther
COPD: mild to moderate,0.755,Netherlands,Pharm Or Device
COPD: exacerbation,0.85,Netherlands,Pharm Or Device
COPD: exacerbation,0.5,Netherlands,Pharm Or Device
COPD: severe to very severe,0.748,Netherlands,Pharm Or Device
COPD: severe to very severe,0.549,Netherlands,Pharm Or Device
Lung cancer: progression-free / early stage,0.69,Australia,GovernmentOther
Lung cancer: progressive / late stage,0.69,Australia,GovernmentOther
"Alzheimer's: severe, not independent",0.6,United Kingdom,Government
"Alzheimer's: mild, independent living",0.34,United Kingdom,Government
Hepatitis C: chronic infection,0.82,United States,Pharm Or Device
Compensated cirrhosis,0.78,United States,Pharm Or Device
Decompensated cirrhosis,0.65,United States,Pharm Or Device
Prior liver transplant (<1 year),0.5,United States,Pharm Or Device
Prior liver transplant (>1 year),0.7,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.62,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.9,United Kingdom,Pharm Or Device
COPD: mild to moderate,0.8971,Sweden,Pharm Or Device
COPD: mild to moderate,0.7551,Sweden,Pharm Or Device
COPD: mild to moderate,0.7481,Sweden,Pharm Or Device
COPD: severe to very severe,0.5493,Sweden,Pharm Or Device
Compensated cirrhosis,0.78,United States,Pro Memb Org
Decompensated cirrhosis,0.65,United States,Pro Memb Org
Hepatitis C: chronic infection,0.5,United States,Pro Memb Org
Hepatitis C: chronic infection,0.82,Belgium,Pharm Or Device
Compensated cirrhosis,0.78,Belgium,Pharm Or Device
Decompensated cirrhosis,0.65,Belgium,Pharm Or Device
Prior liver transplant (<1 year),0.5,Belgium,Pharm Or Device
Prior liver transplant (>1 year),0.7,Belgium,Pharm Or Device
Hepatitis C: chronic infection,0.87,Japan,Pharm Or Device
Hepatitis C: chronic infection,0.8,Japan,Pharm Or Device
Breast cancer: progressive / late stage,0.49,United States,Government
Breast cancer: progression-free / early stage,0.7,United States,Government
COPD: exacerbation,0.68,Canada,GovernmentFoundationPharm Or Device
COPD: mild to moderate,0.92,Canada,GovernmentFoundationPharm Or Device
COPD: severe to very severe,0.84,Canada,GovernmentFoundationPharm Or Device
Hepatitis C: chronic infection,0.82,Italy,Pharm Or Device
Compensated cirrhosis,0.78,Italy,Pharm Or Device
Decompensated cirrhosis,0.65,Italy,Pharm Or Device
Prior liver transplant (<1 year),0.5,Italy,Pharm Or Device
Prior liver transplant (>1 year),0.7,Italy,Pharm Or Device
Colorectal cancer: progressive / late stage,0.89,Netherlands,Other
Colorectal cancer: progressive / late stage,0.73,Netherlands,Other
Colorectal cancer: progressive / late stage,0.8,Netherlands,Other
Colorectal cancer: progressive / late stage,0.09,Netherlands,Other
Colorectal cancer: progressive / late stage,0.17,Netherlands,Other
Breast cancer: progressive / late stage,0.64,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.73,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.33,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.13,United Kingdom,Pharm Or Device
"Alzheimer's: severe, not independent",0.34,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.82,United States,Government
Hepatitis C: chronic infection,0.98,United States,Government
Hepatitis C: chronic infection,0.92,United States,Government
"Alzheimer's: mild, independent living",0.37,United States,Government
"Alzheimer's: mild, independent living",0.52,United States,Government
"Alzheimer's: severe, not independent",0.02,United States,Government
Compensated cirrhosis,0.83,United States,Government
Decompensated cirrhosis,0.67,United States,Government
Compensated cirrhosis,0.9,European Union,Government
Decompensated cirrhosis,0.5,European Union,Government
Prior liver transplant (<1 year),0.5,European Union,Government
Prior liver transplant (>1 year),0.85,European Union,Government
Prior liver transplant (>1 year),0.75,European Union,Government
Diabetes w/ vision loss,0.69,United States,Government
CVD: mild (Rankin 0-1),0.85,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.82,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.98,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.92,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.52,United States,GovernmentFoundation
"Alzheimer's: severe, not independent",0.34,Netherlands,Foundation
"Alzheimer's: mild, independent living",0.6,Netherlands,Foundation
Breast cancer: progression-free / early stage,0.7,Belgium,Pharm Or Device
Breast cancer: progressive / late stage,0.55,United States,Health Care
Breast cancer: progression-free / early stage,0.85,United States,Health Care
Breast cancer: progression-free / early stage,0.7,United States,Health Care
Lung cancer: progressive / late stage,0.4734,South Korea,GovernmentFoundation
Lung cancer: progression-free / early stage,0.6532,South Korea,GovernmentFoundation
Lung cancer: progressive / late stage,0.4734,South Korea,GovernmentFoundation
Breast cancer: progression-free / early stage,0.74,France,Government
Breast cancer: progressive / late stage,0.69,France,Government
Colorectal cancer: progressive / late stage,0.76,United States,Other
Colorectal cancer: progression-free / early stage,0.9,United States,Other
Lung cancer: progressive / late stage,0.47,United States,None
Lung cancer: progression-free / early stage,0.65,United States,None
Colorectal cancer: progressive / late stage,0.77,United States,Pharm Or Device
Diabetes w/ dialysis,0.565,scotland,Pharm Or Device
CVD: mild (Rankin 0-1),0.6151,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5646,United Kingdom,Pharm Or Device
